iter	Passed	Remaining
591	1629	1122
592	1631	1119
593	1634	1117
594	1636	1113
595	1638	1110
596	1642	1108
597	1644	1105
598	1646	1102
599	1651	1101
600	1654	1098
601	1656	1094
602	1659	1092
603	1661	1089
604	1694	1106
605	1706	1109
606	1711	1108
607	1720	1108
608	1721	1105
609	1723	1101
610	1725	1098
611	1726	1094
612	1731	1093
613	1733	1089
614	1735	1086
615	1738	1083
616	1739	1079
617	1741	1076
618	1744	1073
619	1746	1070
620	1750	1068
621	1752	1065
622	1754	1061
623	1765	1063
624	1780	1068
625	1782	1065
626	1784	1061
627	1786	1058
628	1789	1055
629	1796	1054
630	1798	1051
631	1801	1049
632	1804	1045
633	1809	1044
634	1810	1040
635	1812	1037
636	1815	1034
637	1817	1031
638	1819	1027
639	1833	1031
640	1839	1030
641	1844	1028
642	1847	1025
643	1856	1026
644	1858	1022
645	1860	1019
646	1863	1016
647	1869	1015
648	1871	1011
649	1873	1008
650	1875	1005
651	1876	1001
652	1878	998
653	1879	994
654	1884	992
655	1886	989
656	1888	985
657	1890	982
658	1891	978
659	1893	975
660	1896	972
661	1898	969
662	1900	965
663	1901	962
664	1903	958
665	1904	955
666	1906	951
667	1908	948
668	1909	944
669	1913	942
670	1915	938
671	1916	935
672	1918	932
673	1919	928
674	1921	925
675	1923	921
676	1924	918
677	1928	915
678	1930	912
679	1931	908
680	1933	905
681	1934	902
682	1936	898
683	1937	895
684	1939	891
685	1942	889
686	1944	885
687	1945	882
688	1947	878
689	1948	875
690	1949	871
691	1958	871
692	1962	869
693	1964	866
694	1967	863
695	1969	860
696	1972	857
697	1975	854
698	1977	851
699	1979	848
700	1981	845
701	1982	841
702	1984	838
703	1987	835
704	1989	832
705	1990	829
706	1992	825
707	1993	822
708	1995	818
709	1996	815
710	1998	812
711	1999	808
712	2001	805
713	2002	802
714	2004	798
715	2005	795
716	2007	792
717	2008	788
718	2010	785
719	2012	782
720	2016	780
721	2017	776
722	2020	774
723	2022	770
724	2025	768
725	2026	764
726	2028	761
727	2029	758
728	2031	755
729	2032	751
730	2033	748
731	2034	745
732	2036	741
733	2037	738
734	2038	735
735	2039	731
736	2043	729
737	2044	725
738	2045	722
739	2047	719
740	2048	715
741	2049	712
742	2050	709
743	2052	706
744	2053	702
745	2054	699
746	2055	696
747	2058	693
748	2060	690
749	2061	687
750	2062	684
751	2064	680
752	2065	677
753	2066	674
754	2068	671
755	2069	667
756	2070	664
757	2073	661
758	2075	658
759	2076	655
760	2077	652
761	2078	649
762	2080	646
763	2081	643
764	2083	639
765	2085	636
766	2088	634
767	2089	631
768	2090	628
769	2092	624
770	2093	621
771	2094	618
772	2095	615
773	2097	612
774	2098	609
775	2099	606
776	2102	603
777	2104	600
778	2105	597
779	2106	594
780	2107	591
781	2108	587
782	2110	584
783	2111	581
784	2112	578
785	2113	575
786	2115	572
787	2118	569
788	2119	566
789	2121	563
790	2122	560
791	2124	557
792	2125	554
793	2127	551
794	2128	548
795	2130	545
796	2133	543
797	2135	540
798	2136	537
799	2138	534
800	2139	531
801	2140	528
802	2141	525
803	2142	522
804	2143	519
805	2144	516
806	2146	513
807	2148	510
808	2149	507
809	2150	504
810	2151	501
811	2152	498
812	2153	495
813	2154	492
814	2155	489
815	2156	486
816	2158	483
817	2159	480
818	2162	477
819	2163	475
820	2165	472
821	2166	469
822	2168	466
823	2170	463
824	2171	460
825	2172	457
826	2173	454
827	2175	451
828	2177	449
829	2178	446
830	2179	443
831	2180	440
832	2181	437
833	2182	434
834	2183	431
835	2184	428
836	2185	425
837	2187	422
838	2188	420
839	2192	417
840	2193	414
841	2195	411
842	2196	409
843	2197	406
844	2198	403
845	2199	400
846	2201	397
847	2202	394
848	2203	391
849	2204	389
850	2206	386
851	2207	383
852	2208	380
853	2209	377
854	2211	374
855	2212	372
856	2213	369
857	2214	366
858	2215	363
859	2217	360
860	2218	358
861	2219	355
862	2221	352
863	2222	349
864	2223	347
865	2224	344
866	2225	341
867	2227	338
868	2228	335
869	2229	333
870	2230	330
871	2231	327
872	2232	324
873	2233	322
874	2236	319
875	2237	316
876	2238	313
877	2239	311
878	2240	308
879	2241	305
880	2243	302
881	2244	300
882	2245	297
883	2246	294
884	2247	292
885	2248	289
886	2251	286
887	2252	284
888	2253	281
889	2254	278
890	2255	275
891	2257	273
892	2258	270
893	2259	267
894	2260	265
895	2261	262
896	2262	259
897	2263	257
898	2266	254
899	2267	251
900	2268	249
901	2269	246
902	2271	243
903	2272	241
904	2274	238
905	2275	236
906	2276	233
907	2277	230
908	2278	228
909	2281	225
910	2282	222
911	2283	220
912	2284	217
913	2285	215
914	2286	212
915	2287	209
916	2289	207
917	2290	204
918	2291	201
919	2292	199
920	2293	196
921	2295	194
922	2296	191
923	2298	189
924	2299	186
925	2300	183
926	2301	181
927	2302	178
928	2303	176
929	2305	173
930	2306	170
931	2307	168
932	2308	165
933	2310	163
934	2311	160
935	2313	158
936	2314	155
937	2315	153
938	2316	150
939	2318	147
940	2319	145
941	2320	142
942	2321	140
943	2322	137
944	2323	135
945	2325	132
946	2327	130
947	2328	127
948	2329	125
949	2330	122
950	2331	120
951	2332	117
952	2333	115
953	2335	112
954	2336	110
955	2337	107
956	2338	105
957	2340	102
958	2341	100
959	2342	97
960	2344	95
961	2345	92
962	2346	90
963	2347	87
964	2348	85
965	2349	82
966	2350	80
967	2351	77
968	2352	75
969	2355	72
970	2356	70
971	2357	67
972	2359	65
973	2360	63
974	2361	60
975	2362	58
976	2364	55
977	2365	53
978	2366	50
979	2367	48
980	2369	45
981	2371	43
982	2372	41
983	2373	38
984	2374	36
985	2375	33
986	2376	31
987	2377	28
988	2378	26
989	2379	24
990	2381	21
991	2382	19
992	2384	16
993	2385	14
994	2386	11
995	2388	9
996	2389	7
997	2390	4
998	2391	2
999	2392	0
